contentData.name;contentData.dishType;contentData.imageResource;contentData.applianceType;contentData.technicalDescription;contentData.deprecated;contentData.properties.preparationType;contentData.properties.category;contentData.properties.vegetableFreshOrFrozen;contentData.properties.vegetableBreaded;contentData.properties.vegetablePreparationMethod;contentData.temperatureLevel;contentData.fryingSensorTemperature;contentData.durationRangeInSeconds.minimum;contentData.durationRangeInSeconds.maximum;id;contentData.properties.meatBone;contentData.properties.meatDimension;contentData.properties.meatOutcome;contentData.properties.meatPreparationMethod;contentData.properties.pastaRiceAndLegumesDriedOrFresh;contentData.properties.pastaRiceAndLegumesPreparationMethod;contentData.properties.pastaRiceAndLegumesGrainType;contentData.properties.friedFoodCookingFat;contentData.properties.friedFoodPreparationMethod;contentData.properties.vegetableOutcome;contentData.properties.meltingPreparationMethod;contentData.properties.fishCut;contentData.properties.fishFreshOrFrozen;contentData.properties.fishPreparationMethod;contentData.properties.fishBreaded;contentData.properties.friedFoodFreshOrFrozen;contentData.properties.friedFoodBreaded;contentData.technicalImages.src;contentData.technicalImages.title;contentData.properties.poultryPreparationMethod;contentData.properties.poultryBreaded;contentData.properties.vegetablePrecookedOrRaw;contentData.properties.meltingChocolate;contentData.properties.friedFoodThickness;contentData.properties.meatBreaded;contentData.properties.meatPrecookedOrRaw;contentData.properties.meatType;contentData.properties.meatDoneness;contentData.properties.meatThickness;contentData.properties.meatRind;contentData.properties.friedFoodMainIngredient
Aubergine;FULL_DISH;https://media3.bsh-group.com/Images/22104413_Aubergine.png;HOB;Frying aubergine slices in a pan;False;COOK;VEGETABLE;FRESH;WITHOUT_BREADING;PAN_FRY;MEDIUM;160_DEGREES_CELSIUS;360;480;1947249e-c16a-4f8a-9e52-7d5e8b177496;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bacon;FULL_DISH;https://media3.bsh-group.com/Images/1000x/23130206_Bacon.png;HOB;Fry bacon slices ;False;COOK;MEAT;-;-;-;MEDIUM;160_DEGREES_CELSIUS;120;360;87eec818-e3a8-408b-881a-5a3910c1d318;WITHOUT_BONE;SLICES;SOFT;PAN_FRY;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bacon;FULL_DISH;https://media3.bsh-group.com/Images/1000x/23130206_Bacon.png;HOB;Fry bacon slices ;False;COOK;MEAT;-;-;-;HIGH;200_DEGREES_CELSIUS;120;360;726663eb-7044-4c96-9738-3714e2cbedec;WITHOUT_BONE;SLICES;CRISPY;PAN_FRY;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
BasmatiRice;FULL_DISH;https://media3.bsh-group.com/Images/22121935_White_rice.png;HOB;-;False;COOK;PASTA_RICE_AND_LEGUMES;-;-;-;LOW;-;480;720;531b736a-8d31-46a3-8ea3-135eaca29c35;-;-;-;-;DRIED;BOIL;WHITE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
BechamelSauce;FULL_DISH;https://media3.bsh-group.com/Images/25927585_BechamelSauce.png;HOB;Fry and preparing bechamel sauce ;False;COOK;FRIED_FOOD;-;-;-;VERY_LOW;120_DEGREES_CELSIUS;600;1200;b3376bf5-8d1f-4287-8ba9-3e76beaa8087;-;-;-;-;-;-;-;BUTTER;PAN_FRY;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
BellPepper;FULL_DISH;https://media3.bsh-group.com/Images/23131100_BellPepper.png;HOB;-;False;COOK;VEGETABLE;FRESH;WITHOUT_BREADING;PAN_FRY;LOW;140_DEGREES_CELSIUS;240;720;3eb3f888-12ee-42db-8f09-bb011223508e;-;-;-;-;-;-;-;-;-;SOFT;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
BellPepper;FULL_DISH;https://media3.bsh-group.com/Images/23131100_BellPepper.png;HOB;Frying bell pepper that has been sliced or diced in a pan;False;COOK;VEGETABLE;FRESH;WITHOUT_BREADING;PAN_FRY;MEDIUM_HIGH;180_DEGREES_CELSIUS;240;720;09d8dc0d-fc69-45dc-a90a-feb8943f2447;-;-;-;-;-;-;-;-;-;CRISPY;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
BoiledPotatoesWithSkin;FULL_DISH;https://media3.bsh-group.com/Images/1000x/18076248_Potato.png;HOB;Boil whole potatoes ;False;COOK;VEGETABLE;FRESH;-;BOIL;MEDIUM;-;1500;2100;0d759d8e-b5e8-4f3d-a5a2-d1644790c8d9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
BreadCrumbs;FULL_DISH;https://media3.bsh-group.com/Images/1000x/25927588_Butterbrosel.png;HOB;-;False;COOK;FRIED_FOOD;-;-;-;LOW;140_DEGREES_CELSIUS;180;300;07a8de98-7ee1-4edd-8297-86730c7cea7c;-;-;-;-;-;-;-;BUTTER;PAN_FRY;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
BreadCrumbs;FULL_DISH;-;HOB;-;False;COOK;FRIED_FOOD;-;-;-;MEDIUM_HIGH;180_DEGREES_CELSIUS;180;300;572f298e-3e11-4c99-aaf6-6e1f137d98ec;-;-;-;-;-;-;-;OIL;PAN_FRY;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Broccoli;FULL_DISH;https://media3.bsh-group.com/Images/1000x/18076102_Broccoli.png;HOB;Boil broccoli ;False;COOK;VEGETABLE;FRESH;-;BOIL;MEDIUM;-;600;1200;5740bc8d-f561-4555-ab86-2f60d4c66e41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
BrownLentils;FULL_DISH;https://media3.bsh-group.com/Images/1000x/22121907_Lentils.png;HOB;-;False;COOK;PASTA_RICE_AND_LEGUMES;-;-;-;LOW;-;2700;3600;8afbf2e6-a36d-4d8a-aefd-5ffcec7a58ce;-;-;-;-;DRIED;BOIL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
BrownRice;FULL_DISH;https://media3.bsh-group.com/Images/22123871_Whole_grain_rice.png;HOB;-;False;COOK;PASTA_RICE_AND_LEGUMES;-;-;-;LOW;-;2400;2700;a20736db-3e54-4e8f-b18c-b5c7ab0f87b2;-;-;-;-;DRIED;BOIL;WHOLE_GRAIN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
BrusselsSprouts;FULL_DISH;https://media3.bsh-group.com/Images/1000x/18076104_BrusselSprouts.png;HOB;-;False;COOK;VEGETABLE;FRESH;-;PAN_FRY;MEDIUM;160_DEGREES_CELSIUS;300;600;33664462-7b3a-4eea-86d3-ddda0945fc66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Butter;FULL_DISH;https://media3.bsh-group.com/Images/1000x/24731377_Melted_butter.png;HOB;Melting butter in a pan;False;COOK;MELTING;-;-;-;-;80_DEGREES_CELSIUS;180;300;4f9f8589-3fa0-48a4-acb9-92fd16c333b6;-;-;-;-;-;-;-;-;-;-;PAN_FRY;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Calamari;FULL_DISH;https://media3.bsh-group.com/Images/1000x/17855834_Calamari.png;HOB;-;False;COOK;FISH;-;-;-;HIGH;200_DEGREES_CELSIUS;360;720;d0f944d6-e54e-4b2f-bc10-869fe72b795f;-;-;-;-;-;-;-;-;-;-;-;CHOP;FROZEN;PAN_FRY;WITH_BREADING;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Camenbert;FULL_DISH;https://media3.bsh-group.com/Images/1000x/25702168_BackCamenbert.png;HOB;-;False;COOK;FRIED_FOOD;-;-;-;HIGH;200_DEGREES_CELSIUS;360;480;fd3b78dc-75b2-4d1f-971e-533372e0ee51;-;-;-;-;-;-;-;-;SHALLOW_FRY;-;-;-;-;-;-;FRESH;WITH_BREADING;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Camenbert;FULL_DISH;https://media3.bsh-group.com/Images/25888149_Camenbert.png;HOB;-;False;COOK;FRIED_FOOD;-;-;-;HIGH;220_DEGREES_CELSIUS;180;300;a67f1fbc-7d44-4aaa-8df4-f809f43ba7f2;-;-;-;-;-;-;-;-;SHALLOW_FRY;-;-;-;-;-;-;FRESH;WITHOUT_BREADING;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Caramel;FULL_DISH;https://media3.bsh-group.com/Images/1000x/25551586_Caramell.png;HOB;Melting sugar and water, to cook caramel ;False;COOK;FRIED_FOOD;-;-;-;HIGH;220_DEGREES_CELSIUS;300;600;123162a6-a940-4e88-8e7b-4a348afabf7a;-;-;-;-;-;-;-;-;PAN_FRY;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
CaramelizedOnion;FULL_DISH;https://media3.bsh-group.com/Images/18076748_Single_Onions.png;HOB;-;False;COOK;VEGETABLE;-;-;PAN_FRY;VERY_LOW;110_DEGREES_CELSIUS;1200;1800;043298d6-52cd-43dd-9dbb-a9f01db83637;-;-;-;-;-;-;-;-;-;SOFT;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Carrots;FULL_DISH;https://media3.bsh-group.com/Images/1000x/18076662_Single_carrots.png;HOB;-;False;COOK;VEGETABLE;FRESH;-;PAN_FRY;MEDIUM;160_DEGREES_CELSIUS;480;720;eeea2132-855e-4366-96e9-a6d8c31bdfd1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
CauliflowerFlorets;FULL_DISH;https://media3.bsh-group.com/Images/1000x/18076138_CauliflowerFlorets.png;HOB;Boil Cauliflower florets;False;COOK;VEGETABLE;FRESH;-;BOIL;MEDIUM;-;1500;2100;c02eca01-1305-43e9-877e-3712b1a3b443;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
CheeseSauce;FULL_DISH;https://media3.bsh-group.com/Images/25927586_CheeseSauce.png;HOB;Preparing sauce based on cheese;False;COOK;FRIED_FOOD;-;-;-;VERY_LOW;120_DEGREES_CELSIUS;180;480;c3ecf37e-5454-48ea-9bbc-4a5318d25d0a;-;-;-;-;-;-;-;-;PAN_FRY;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
CheeseSticks;FULL_DISH;https://media3.bsh-group.com/Images/1000x/23594727_Fried_cheese.png;HOB;-;False;COOK;FRIED_FOOD;-;-;-;HIGH;200_DEGREES_CELSIUS;360;720;b91546ad-e0a8-496b-91c4-1c0e5304eeb3;-;-;-;-;-;-;-;-;SHALLOW_FRY;-;-;-;-;-;-;FROZEN;WITH_BREADING;-;-;-;-;-;-;-;-;-;-;-;-;-;-
CheeseSticks;FULL_DISH;https://media3.bsh-group.com/Images/1000x/23594727_Fried_cheese.png;HOB;-;False;COOK;FRIED_FOOD;-;-;-;MEDIUM_HIGH;180_DEGREES_CELSIUS;360;720;b0017859-863b-4e23-91cb-271529e39038;-;-;-;-;-;-;-;-;SHALLOW_FRY;-;-;-;-;-;-;FRESH;WITH_BREADING;-;-;-;-;-;-;-;-;-;-;-;-;-;-
ChickenBreast;FULL_DISH;https://media3.bsh-group.com/Images/22091649_Breaded_schnitzel.png;HOB;"In this dish a slice (or a flattened/ butterflied) of chicken breast is breaded and afterwards fried in a large amount of oil in a pan. This is equivalent to the German ""HÃ¤hnchenschnitzel Wiener art""";False;COOK;POULTRY;-;-;-;HIGH;200_DEGREES_CELSIUS;360;600;40e59c91-1a3c-4664-9d6b-f75e4061aebb;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;https://bsh-cdr-cms-dishes.s3.eu-central-1.amazonaws.com/40e59c91-1a3c-4664-9d6b-f75e4061aebb/breaded_chicken_breast.jpg;breaded_chicken_breast.jpg;SHALLOW_FRY;WITH_BREADING;-;-;-;-;-;-;-;-;-;-
ChickenBreast;FULL_DISH;https://media3.bsh-group.com/Images/1000x/17855814_Poultry.png;HOB;In this case a whole chicken breast (not sliced/ flattened or butterflied) and fried in a small amount of oil;False;COOK;POULTRY;-;-;-;MEDIUM;160_DEGREES_CELSIUS;900;1500;e0b9eec6-340c-4a91-83e9-9f8bf87c3f7d;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PAN_FRY;WITHOUT_BREADING;-;-;-;-;-;-;-;-;-;-
ChickenLegs;FULL_DISH;https://media3.bsh-group.com/Images/1000x/18076835_ChickenLegs.png;HOB;-;False;COOK;POULTRY;-;-;-;MEDIUM_HIGH;180_DEGREES_CELSIUS;480;720;3adbcc83-77f0-405e-8ac6-125770917d10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PAN_FRY;-;-;-;-;-;-;-;-;-;-;-
ChickenWings;FULL_DISH;https://media3.bsh-group.com/Images/1000x/25666074_ChickenWings.png;HOB;-;False;COOK;POULTRY;-;-;-;MEDIUM_HIGH;180_DEGREES_CELSIUS;480;720;fa5be260-f6de-439c-9b5f-82a932514c5d;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PAN_FRY;-;-;-;-;-;-;-;-;-;-;-
Chips;FULL_DISH;https://media3.bsh-group.com/Images/1000x/18076170_Fries.png;HOB;"Shallow fry French Fries in a pan. This dish is referring to French fries and not ""crips""";False;COOK;VEGETABLE;FRESH;-;SHALLOW_FRY;MEDIUM_HIGH;180_DEGREES_CELSIUS;600;1200;5fcd4d4a-1e81-4a9e-9e44-d256995490de;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;RAW;-;-;-;-;-;-;-;-;-
Chips;FULL_DISH;https://media3.bsh-group.com/Images/1000x/18076170_Fries.png;HOB;"Shallow fry French Fries in a pan. This dish is referring to French fries and not ""crips""";False;COOK;VEGETABLE;FROZEN;-;SHALLOW_FRY;MEDIUM_HIGH;180_DEGREES_CELSIUS;600;1200;386f9caf-e438-4ba5-a8bd-fe9388123e10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PRECOOKED;-;-;-;-;-;-;-;-;-
Chocolate;FULL_DISH;https://media3.bsh-group.com/Images/22541303_Melted_chocolate.png;HOB;Melting chocolate chips for coating ;False;COOK;MELTING;-;-;-;-;80_DEGREES_CELSIUS;300;900;b0e00eb6-2cb0-4b56-b20c-e2cb640ba031;-;-;-;-;-;-;-;-;-;-;PAN_FRY;-;-;-;-;-;-;-;-;-;-;-;DARK;-;-;-;-;-;-;-;-
Chocolate;FULL_DISH;https://media3.bsh-group.com/Images/25305514_White_chocolate.png;HOB;Melting chocolate chips for coating ;False;COOK;MELTING;-;-;-;-;70_DEGREES_CELSIUS;300;900;ab8abd73-75d6-44c7-b939-8ef287efd3ba;-;-;-;-;-;-;-;-;-;-;PAN_FRY;-;-;-;-;-;-;-;-;-;-;-;WHITE;-;-;-;-;-;-;-;-
Chorizo;FULL_DISH;https://media3.bsh-group.com/Images/1000x/23594574_Chorizo.png;HOB;-;False;COOK;FRIED_FOOD;-;-;-;MEDIUM_HIGH;180_DEGREES_CELSIUS;300;600;fcab38cb-8a92-4d18-a6f7-c62b66e1ec61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;THIN;-;-;-;-;-;-;-
Chorizo;FULL_DISH;https://media3.bsh-group.com/Images/1000x/23594574_Chorizo.png;HOB;-;False;COOK;FRIED_FOOD;-;-;-;MEDIUM;160_DEGREES_CELSIUS;600;1200;00ebdadc-d3d2-48cc-85c9-8dbbae06fdcf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;THICK;-;-;-;-;-;-;-
Churros;FULL_DISH;https://media3.bsh-group.com/Images/25305500_Churros.png;HOB;Shallow fry a dough, dessert ;False;COOK;FRIED_FOOD;-;-;-;HIGH;200_DEGREES_CELSIUS;180;360;2579ae14-8e79-4410-9a25-3457db2a7f3d;-;-;-;-;-;-;-;OIL;SHALLOW_FRY;-;-;-;-;-;-;FRESH;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Churros;FULL_DISH;https://media3.bsh-group.com/Images/25305500_Churros.png;HOB;Shallow fry a dough, dessert ;False;COOK;FRIED_FOOD;-;-;-;HIGH;220_DEGREES_CELSIUS;180;360;c7d4856c-40b6-48d8-8050-46b284da394a;-;-;-;-;-;-;-;OIL;SHALLOW_FRY;-;-;-;-;-;-;FROZEN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Codfish;FULL_DISH;https://media3.bsh-group.com/Images/1000x/17855842_whitefish.png;HOB;-;False;COOK;FISH;-;-;-;MEDIUM_HIGH;180_DEGREES_CELSIUS;600;1200;8d5bb413-48cb-4423-95a2-c60540d5bd58;-;-;-;-;-;-;-;-;-;-;-;FILET;FRESH;PAN_FRY;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Courgette;FULL_DISH;https://media3.bsh-group.com/Images/1000x/18076386_Zucchini.png;HOB;-;False;COOK;VEGETABLE;FRESH;-;PAN_FRY;MEDIUM;160_DEGREES_CELSIUS;480;720;525503f6-684f-4c9a-96ca-57c8bed66e5c;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Croquettes;FULL_DISH;https://media3.bsh-group.com/Images/1000x/18076156_Croquettes.png;HOB;-;False;COOK;VEGETABLE;FROZEN;-;SHALLOW_FRY;HIGH;220_DEGREES_CELSIUS;360;480;16a61a5c-61be-4080-9faf-e44eb4f884e0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Croquettes;FULL_DISH;https://media3.bsh-group.com/Images/1000x/18076156_Croquettes.png;HOB;-;False;COOK;VEGETABLE;FRESH;-;SHALLOW_FRY;HIGH;200_DEGREES_CELSIUS;360;480;dfc6bfa5-5f87-4c6d-abdf-2edb211aa306;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Croutons;FULL_DISH;https://media3.bsh-group.com/Images/22541301_Croutons.png;HOB;Fry CroÃ»tons;False;COOK;FRIED_FOOD;-;-;-;MEDIUM_HIGH;180_DEGREES_CELSIUS;360;600;c0d34043-12b7-4a5e-a726-cf09eaa00848;-;-;-;-;-;-;-;-;PAN_FRY;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
